%time	vn	ve	vz	an	ae	az	phi	lambda	h	roll	pitch	yaw	rollD	pitchD	yawD
1.800000	30.542597	-0.054541	-0.144541	0.904273	-0.002954	-0.002954	1.570730	-0.001788	-149575112.043477	1.570553	0.000087	0.000227	0.000074	0.000010	-0.000108
3.600000	32.170288	-0.059859	-0.149859	0.343290	0.071159	0.071159	1.570659	-0.001768	-149575112.057779	1.570686	0.000105	0.000032	0.000021	0.000023	0.000013
5.400000	32.788210	0.068227	-0.021773	-0.089700	0.015571	0.015571	1.570588	-0.000439	-149575112.059312	1.570649	0.000147	0.000009	0.000004	0.000004	0.000005
7.200000	32.626750	0.096255	0.006255	-0.080351	-0.003347	-0.003347	1.570516	0.000422	-149575112.057906	1.570657	0.000139	0.000000	0.000001	0.000001	0.000001
9.000000	32.482119	0.090230	0.000230	-0.072121	-0.000407	-0.000407	1.570445	0.000898	-149575112.056860	1.570658	0.000138	0.000001	0.000007	0.000008	0.000008
10.800000	32.352301	0.089498	-0.000502	-0.064875	-0.004716	-0.004716	1.570375	0.001210	-149575112.055684	1.570671	0.000124	0.000015	0.000014	0.000025	0.000026
12.600000	32.235525	0.081010	-0.008990	-0.058090	-0.016159	-0.016159	1.570304	0.001393	-149575112.055191	1.570697	0.000079	0.000061	0.000021	0.000041	0.000042
14.400000	32.130963	0.051923	-0.038077	-0.053972	-0.027093	-0.027093	1.570234	0.001416	-149575112.057441	1.570660	0.000005	0.000136	0.000007	0.000002	0.000007
16.200000	32.033814	0.003155	-0.086845	-0.051980	-0.004083	-0.004083	1.570164	0.001269	-149575112.064233	1.570647	0.000008	0.000149	0.000026	0.000022	0.000022
18.000000	31.940249	-0.004195	-0.094195	-0.049386	-0.014908	-0.014908	1.570094	0.001128	-149575112.071597	1.570601	0.000048	0.000189	0.000012	0.000011	0.000010
19.800000	31.851355	-0.031029	-0.121029	-0.047448	0.006789	0.006789	1.570025	0.000939	-149575112.081319	1.570623	0.000029	0.000171	0.000007	0.000006	0.000006
21.600000	31.765949	-0.018809	-0.108809	-0.045440	0.004357	0.004357	1.569955	0.000813	-149575112.089618	1.570635	0.000018	0.000160	0.000012	0.000011	0.000011
23.400000	31.684156	-0.010967	-0.100967	-0.043767	-0.006878	-0.006878	1.569886	0.000724	-149575112.096975	1.570613	0.000037	0.000179	0.000003	0.000002	0.000003
